1 | Prog | 0 | 0
2 | 23 | 1 | 0
3 | 15 | 1 | 2
4 | StatementList | 1 | 3
5 | SimpleStatement | 4 | 0
6 | VarStatement | 5 | 0
7 | Type | 6 | 0
8 | 27 | 7 | 0
9 | 29 | 6 | 7
10 | 35 | 6 | 9
11 | 21 | 4 | 5
12 | StatementList | 4 | 11
13 | SimpleStatement | 12 | 0
14 | VarStatement | 13 | 0
15 | Type | 14 | 0
16 | 27 | 15 | 0
17 | 29 | 14 | 15
18 | 35 | 14 | 17
19 | 21 | 12 | 13
20 | StatementList | 12 | 19
21 | SimpleStatement | 20 | 0
22 | VarStatement | 21 | 0
23 | Type | 22 | 0
24 | 27 | 23 | 0
25 | 29 | 22 | 23
26 | 35 | 22 | 25
27 | 21 | 20 | 21
28 | StatementList | 20 | 27
29 | SimpleStatement | 28 | 0
30 | ReadStatement | 29 | 0
31 | 25 | 30 | 0
32 | 17 | 30 | 31
33 | Identifier | 30 | 32
34 | 35 | 33 | 0
35 | 18 | 30 | 33
36 | 21 | 28 | 29
37 | StatementList | 28 | 36
38 | SimpleStatement | 37 | 0
39 | ReadStatement | 38 | 0
40 | 25 | 39 | 0
41 | 17 | 39 | 40
42 | Identifier | 39 | 41
43 | 35 | 42 | 0
44 | 18 | 39 | 42
45 | 21 | 37 | 38
46 | StatementList | 37 | 45
47 | SimpleStatement | 46 | 0
48 | ReadStatement | 47 | 0
49 | 25 | 48 | 0
50 | 17 | 48 | 49
51 | Identifier | 48 | 50
52 | 35 | 51 | 0
53 | 18 | 48 | 51
54 | 21 | 46 | 47
55 | StatementList | 46 | 54
56 | SimpleStatement | 55 | 0
57 | WriteStatement | 56 | 0
58 | 26 | 57 | 0
59 | 17 | 57 | 58
60 | Identifier | 57 | 59
61 | 35 | 60 | 0
62 | 18 | 57 | 60
63 | 21 | 55 | 56
64 | StatementList | 55 | 63
65 | epsilon | 64 | 0
66 | 16 | 1 | 4
67 | 24 | 1 | 66
